Identification number,Section,Subsection,Head office country,Head office city,Level of interest,Fields of interest,Estimate of costs (absolute amount),Estimate of costs (as a range)
70699309784-62,"IV - Think tanks		research and academic institutions",Academic institutions,Netherlands,Wageningen,global,"Agriculture and Rural Development		Consumer Affairs		Energy		Environment		Fisheries and Aquaculture		Regional Policy		Research and Technology		Public Health		Food Safety		Information Society		Climate Action",,0-9999
232569310146-44,"IV - Think tanks		research and academic institutions",Academic institutions,Germany,Berlin,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication",100000,
212858810418-75,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Bulgaria,Sofia,"European		global		national","Education		Foreign and Security Policy and Defence		Research and Technology		Information Society		Communication",,0-9999
859548210351-56,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",France,Toulouse,"European		national		regional/local","Agriculture and Rural Development		Culture		Environment		Regional Policy		Climate Action		Home Affairs",,0-9999
600272610040-01,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,France,PARIS,"European		global		national","Economic and Financial Affairs		Competition		Consumer Affairs		Energy		Environment		Taxation		Internal Market		Research and Technology		Trans-European Networks		Information Society		Transport		Communication",,25000-49999
475780615932-80,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Greece,Pireaus,"European		global","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication",500,
306873210055-73,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Austria,Wien,"European		national		regional/local","Budget		Energy		Environment		Research and Technology		Trans-European Networks		Transport		Climate Action",,100000-199999
05112359423-25,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Brazil,Rio de Janeiro,global,"Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Culture		Development		Education		Employment and Social Affairs		Environment		Youth		Internal Market		Research and Technology		Public Health		Information Society		Transport		Climate Action		Communication",,0-9999
39299129772-62,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"Economic and Financial Affairs		Agriculture and Rural Development		Consumer Affairs		Energy		Environment		Fisheries and Aquaculture		Climate Action",,300000-399999
08145029448-62,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"Consumer Affairs		Environment		Public Health",,0-9999
200266810016-52,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Romania,Bucuresti,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Audiovisual and Media		Trade		Consumer Affairs		Culture		Development		Education		Employment and Social Affairs		Enterprise		Environment		Youth		Regional Policy		External Relations		Trans-European Networks		Public Health		Sport		Home Affairs		Communication",,0-9999
551360210063-64,I - Professional consultancies/law firms/self-employed consultants,Self-employed consultants,Belgium,Bruxelles,"European		national","General and Institutional Affairs		Economic and Financial Affairs		Audiovisual and Media		Trade		Competition		Culture		Development		Education		Employment and Social Affairs		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		External Relations		Information Society		Transport		Communication",,0-9999
539962110274-49,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Netherlands,Barneveld,global,"Enterprise		Environment		Research and Technology		Food Safety",,10000-24999
26816769326-91,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",United Kingdom,Milton Keynes,national,Energy,,0-9999
08171556938-65,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Switzerland,Baden,"European		global		national","Competition		Consumer Affairs		Energy		Environment		Taxation		Internal Market		External Relations		Trans-European Networks		Climate Action		Financial Stability		Financial Services and Capital Markets Union",,300000-399999
96033979469-48,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Netherlands,Den Haag,"national		regional/local","Audiovisual and Media		Competition		Consumer Affairs		Information Society		Communication",,0-9999
899865010107-44,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Berlin,European,"Competition		Energy		Enterprise		Environment		Internal Market		Research and Technology",,0-9999
277422810118-57,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Belgium,Brussels,"European		global","Audiovisual and Media		Consumer Affairs		Internal Market		Information Society",,0-9999
055540510372-34,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Berlin,"European		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Trade		Competition		Consumer Affairs		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Food Safety		Transport",,0-9999
164820210035-22,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Italy,martinsicuro,"European		global		national		regional/local","Economic and Financial Affairs		Agriculture and Rural Development		Trade		Competition		Consumer Affairs		Culture		Employment and Social Affairs		Environment		Fisheries and Aquaculture		Regional Policy		Research and Technology		Food Safety		Information Society		Home Affairs",,0-9999
675000817157-42,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Luxembourg,Luxembourg,global,"Economic and Financial Affairs		Agriculture and Rural Development		Budget		Trade		Competition		Culture		Development		Customs		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Research and Technology		Trans-European Networks		Public Health		Food Safety		Information Society		Transport		Home Affairs		Communication",,>10000000
885880717158-92,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Greece,ATHENS,national,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Budget		Competition		Consumer Affairs		Development		Energy		Enterprise		Environment		Taxation		Internal Market		Regional Policy		Research and Technology		Food Safety		Information Society		Climate Action",,0-9999
707907417174-22,I - Professional consultancies/law firms/self-employed consultants,Self-employed consultants,Germany,Gersheim,European,"Audiovisual and Media		Enterprise		Justice and Fundamental Rights		Information Society		Communication",,0-9999
272486517947-03,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Netherlands,Amsterdam,"European		global		national","Humanitarian Aid		Competition		Consumer Affairs		Development		Education		Employment and Social Affairs		Enterprise		Environment		Justice and Fundamental Rights		Internal Market		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society",8000,
826561117948-50,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Finland,Oulunsalo,European,"Environment		Climate Action",,0-9999
82064709791-43,I - Professional consultancies/law firms/self-employed consultants,Law firms,France,Paris,"European		national","Economic and Financial Affairs		Agriculture and Rural Development		Trade		Competition		Consumer Affairs		Energy		Environment		Internal Market		Fisheries and Aquaculture		Regional Policy		Food Safety",,50000-99999
01663849797-29,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Germany,Braunschweig,European,"Development		Research and Technology		Transport",,0-9999
43591669812-20,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.",Other sub-national public authorities,United Kingdom,"Chichester		West Sussex","European		global		national		regional/local","Agriculture and Rural Development		Consumer Affairs		Environment		Justice and Fundamental Rights		Research and Technology		Public Health		Food Safety		Information Society",,0-9999
824008510430-67,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",France,Paris,global,Fisheries and Aquaculture,,0-9999
687559214721-11,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,"European		global","Trade		Competition		Internal Market		Research and Technology		Public Health",,300000-399999
753186317949-92,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Ireland,Dublin,national,"Information Society		Communication",,0-9999
96435469870-62,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.","Other public or mixed entities		created by law whose purpose is to act in the public interest",France,PARIS,"European		national","Economic and Financial Affairs		Budget		Trade		Competition		Consumer Affairs		Culture		Customs		Employment and Social Affairs		Enterprise		Environment		Taxation		Internal Market		Regional Policy		Research and Technology		Information Society",,0-9999
52097059825-86,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Italy,Pescara,"European		national		regional/local","Agriculture and Rural Development		Audiovisual and Media		Budget		Culture		Development		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Youth		Justice and Fundamental Rights		Fisheries and Aquaculture		Regional Policy		Research and Technology		Public Health		Information Society		Sport		Transport		Climate Action		Communication",,50000-99999
93326299329-13,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Italy,TORINO,"European		regional/local","General and Institutional Affairs		Humanitarian Aid		Audiovisual and Media		Culture		Education		Employment and Social Affairs		Environment		Youth		Justice and Fundamental Rights		Regional Policy		External Relations		Trans-European Networks		Public Health		Information Society		Communication",,0-9999
94850879680-26,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Denmark,København K,"European		national		regional/local","Trade		Consumer Affairs		Education		Employment and Social Affairs		Taxation		Information Society		Financial Stability		Financial Services and Capital Markets Union",,0-9999
385134710440-04,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Austria,Vienna,"European		national","Audiovisual and Media		Consumer Affairs		Culture		Justice and Fundamental Rights		Internal Market		Information Society		Communication",9500,
775903212549-24,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.","Other public or mixed entities		created by law whose purpose is to act in the public interest",Germany,Berlin,national,"General and Institutional Affairs		Economic and Financial Affairs		Trade		Competition		Consumer Affairs		Employment and Social Affairs		Enterprise		Taxation		Justice and Fundamental Rights		Internal Market		Regional Policy		Research and Technology		Public Health		Food Safety		Information Society		Sport		Home Affairs",,100000-199999
117431210021-77,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Italy,Roma,"European		national",Transport,,0-9999
61419548788-39,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"Energy		Enterprise		Environment		Research and Technology		Climate Action",,0-9999
141837410320-27,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Italy,Palermo,global,Research and Technology,,0-9999
95668759493-33,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.","Other public or mixed entities		created by law whose purpose is to act in the public interest",Germany,Engelskirchen,global,"Economic and Financial Affairs		Enterprise",,0-9999
59703399803-22,II - In-house lobbyists and trade/business/professional associations,Companies & groups,France,SIGNES,"European		global		national		regional/local",Transport,3500,
53919309369-62,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Berlin,"European		national","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Budget		Trade		Competition		Consumer Affairs		Customs		Energy		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Regional Policy		Research and Technology		Trans-European Networks		Public Health		Information Society		Transport		Climate Action",,500000-599999
497945417142-72,II - In-house lobbyists and trade/business/professional associations,Companies & groups,France,Lyon,global,"Agriculture and Rural Development		Trade		Environment		Fisheries and Aquaculture		Research and Technology		Public Health		Food Safety",,300000-399999
656491021463-31,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Italy,Milano,national,"Economic and Financial Affairs		Financial Stability		Financial Services and Capital Markets Union",,0-9999
425616610437-28,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",France,Paris,national,"Energy		Environment		Transport		Climate Action",,0-9999
255859710443-50,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Poland,Warszawa,"European		national","Competition		Energy		Environment		Internal Market		Trans-European Networks		Climate Action",,400000-499999
149855010621-40,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Netherlands,Amsterdam,European,"Consumer Affairs		Research and Technology		Public Health",,0-9999
15392729381-19,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Belgium,Brussels,European,"General and Institutional Affairs		Agriculture and Rural Development		Audiovisual and Media		Trade		Consumer Affairs		Culture		Development		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Transport		Climate Action		Home Affairs		Communication",,700000-799999
75014529893-97,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Austria,Innsbruck,global,"Humanitarian Aid		Development		Education		Enlargement		Employment and Social Affairs		Youth		External Relations		Public Health",,300000-399999
277326710444-97,II - In-house lobbyists and trade/business/professional associations,Other organisations,Belgium,Bruxelles,"European		global		national		regional/local","Economic and Financial Affairs		Internal Market",,0-9999
942748221075-81,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Slovenia,Kamnik,"European		global		national		regional/local","Energy		Enterprise		Environment		Transport		Climate Action",,50000-99999
405291021076-78,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,United Kingdom,Fraserburgh,"European		national		regional/local","Fisheries and Aquaculture		Food Safety",,100000-199999
37544129782-90,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Switzerland,Wallisellen,global,"Economic and Financial Affairs		Trade		Customs		Energy		Environment		Climate Action",,25000-49999
89698129799-39,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,France,PARIS,"European		national","Agriculture and Rural Development		Trade		Competition		Consumer Affairs		Employment and Social Affairs		Energy		Enterprise		Environment		Internal Market		Regional Policy		Research and Technology		Public Health		Food Safety		Information Society		Transport		Climate Action",,10000-24999
10197605099-59,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Germany,Hennigsdorf,"European		national		regional/local","Development		Employment and Social Affairs		Energy		Enterprise		Environment		Regional Policy		Research and Technology		Climate Action",2000,
208929410103-47,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Italy,Rome,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Trade		Consumer Affairs		Development		Customs		Enlargement		Enterprise		Environment		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Sport		Transport		Home Affairs",,0-9999
658927521102-20,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Belgium,Brussels,European,"Customs		Energy		Enterprise		Taxation		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Research and Technology		Information Society		Transport		Home Affairs",0,
23456089829-33,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Italy,Roma,"European		national		regional/local","Economic and Financial Affairs		Employment and Social Affairs		Energy		Environment		Internal Market		Food Safety		Information Society		Financial Stability		Financial Services and Capital Markets Union",,50000-99999
69133399372-91,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Bruxelles,European,"Economic and Financial Affairs		Consumer Affairs		Enlargement		Employment and Social Affairs		Enterprise		Internal Market		Public Health",,500000-599999
210455010135-08,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,United States,Montpellier,"European		global		national		regional/local","Competition		Energy		Environment		Internal Market		Regional Policy		Research and Technology		Trans-European Networks		Transport		Climate Action",,0-9999
624877710054-86,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Italy,Rome,"European		national","General and Institutional Affairs		Economic and Financial Affairs		Culture		Development		Education		Employment and Social Affairs		Enterprise		Youth		Justice and Fundamental Rights		Information Society",,0-9999
294581211639-39,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Czech Republic,Praha 2,national,"Audiovisual and Media		Competition		Culture		Education		Information Society",,0-9999
16178359495-57,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Germany,Berlin,"European		national		regional/local","Economic and Financial Affairs		Audiovisual and Media		Trade		Competition		Consumer Affairs		Culture		Customs		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Research and Technology		External Relations		Trans-European Networks		Public Health		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication",,0-9999
89292219623-93,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,European,"Humanitarian Aid		Budget		Consumer Affairs		Development		Education		Employment and Social Affairs		Justice and Fundamental Rights		Regional Policy		Research and Technology		Public Health",,200000-299999
05829149535-55,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,United Kingdom,Northampton,"European		national		regional/local","Energy		Environment",,0-9999
52431421-12,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Spain,Madrid,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Audiovisual and Media		Trade		Competition		Consumer Affairs		Culture		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Information Society		Climate Action		Home Affairs		Communication",2000000,
222513521448-47,II - In-house lobbyists and trade/business/professional associations,Other organisations,France,PARIS,"European		national","General and Institutional Affairs		Economic and Financial Affairs		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Public Health		Sport		Home Affairs		Communication		Financial Stability		Financial Services and Capital Markets Union",,0-9999
753137321450-43,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",United Kingdom,London,"European		global		national		regional/local","Consumer Affairs		Culture		Education		Employment and Social Affairs		Energy		Justice and Fundamental Rights		Internal Market		Regional Policy		Research and Technology		Public Health		Information Society		Sport		Transport",,0-9999
13985109528-85,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Spain,Madrid,national,"Agriculture and Rural Development		Budget		Trade		Competition		Consumer Affairs		Customs		Energy		Environment		Internal Market		Food Safety		Climate Action",,10000-24999
91044579609-70,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Bruxelles,European,"Culture		Education		Justice and Fundamental Rights",,300000-399999
84308599569-14,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,United Kingdom,London,"European		global		national","Economic and Financial Affairs		Competition		Consumer Affairs		Internal Market		Information Society		Home Affairs",,0-9999
04170359703-97,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Bremen,"European		national","Economic and Financial Affairs		Budget		Competition		Consumer Affairs		Employment and Social Affairs		Enterprise		Environment		Justice and Fundamental Rights		Trans-European Networks		Information Society		Transport",,0-9999
656129110011-86,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Spain,Boecillo,"European		national","Culture		Energy		Environment		Fisheries and Aquaculture		Research and Technology		Public Health		Food Safety		Transport		Climate Action",,900000-999999
276279521460-03,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,France,Paris,national,"Energy		Environment		Internal Market		Trans-European Networks",,0-9999
565456110278-20,I - Professional consultancies/law firms/self-employed consultants,Self-employed consultants,Belgium,Dilbeek,"European		global		national","Economic and Financial Affairs		Competition		Consumer Affairs		Development		Education		Energy		Enterprise		Taxation		Internal Market		Regional Policy		Trans-European Networks		Public Health		Transport		Climate Action",,0-9999
4817795559-48,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"Economic and Financial Affairs		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Customs		Education		Employment and Social Affairs		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Regional Policy		External Relations		Trans-European Networks		Public Health		Information Society		Transport		Home Affairs",,0-9999
35118309721-12,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,"European		national		regional/local","Budget		Culture		Education		Employment and Social Affairs		Youth		Public Health		Sport		Communication",,0-9999
67885098248-29,"IV - Think tanks		research and academic institutions",Academic institutions,Cyprus,Nicosia,"European		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Humanitarian Aid		Audiovisual and Media		Consumer Affairs		Culture		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Regional Policy		Research and Technology		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication",,0-9999
82117319399-44,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,"European		global		national","Energy		Enterprise		Environment		Internal Market		Regional Policy		Research and Technology		Public Health		Food Safety		Climate Action",,10000-24999
51135259400-72,I - Professional consultancies/law firms/self-employed consultants,Self-employed consultants,Belgium,Brussels,European,"General and Institutional Affairs		Trade		Competition		Consumer Affairs		Enlargement		Environment		Research and Technology		External Relations		Trans-European Networks		Transport		Climate Action		Communication",,400000-499999
50465929991-70,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United Kingdom,London,European,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Budget		Trade		Competition		Consumer Affairs		Development		Customs		Energy		Enterprise		Environment		Internal Market		External Relations		Food Safety		Climate Action",,500000-599999
357467010010-25,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,"European		global","Audiovisual and Media		Culture		Education		External Relations",,200000-299999
745225910014-90,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Belgium,Brussels,"European		national","General and Institutional Affairs		Economic and Financial Affairs		Competition		Consumer Affairs		Enterprise		Internal Market",,10000-24999
34478709670-34,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,"European		global","Humanitarian Aid		Development		Justice and Fundamental Rights		External Relations",,500000-599999
79326599753-48,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Spain,Madrid,"European		national",Energy,,0-9999
22157529937-72,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Germany,Regensburg,"European		national","Education		Research and Technology		Trans-European Networks		Public Health		Transport",,0-9999
47026139964-50,"IV - Think tanks		research and academic institutions",Academic institutions,Ireland,Dublin,national,"Education		Research and Technology		Public Health",,0-9999
7291975775-43,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,France,Paris,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Budget		Trade		Customs		Energy		Environment		Taxation		Research and Technology		Food Safety		Transport		Climate Action",100000,
810623710385-85,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Netherlands,Leidschendam,national,"Development		Research and Technology		Trans-European Networks		Transport",,0-9999
846403610388-04,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Cyprus,Larnaca,global,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication",3600,
72492469907-71,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Berlin,"European		national		regional/local","Economic and Financial Affairs		Agriculture and Rural Development		Trade		Energy		Environment		Trans-European Networks		Food Safety		Transport",,25000-49999
914398910315-63,"IV - Think tanks		research and academic institutions",Academic institutions,Finland,Kajaani,"global		national		regional/local","Education		Energy		Enterprise		Environment		Regional Policy		Research and Technology",,0-9999
355702910008-47,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Sweden,Stockholm,"European		national","Economic and Financial Affairs		Agriculture and Rural Development		Trade		Competition		Customs		Energy		Enterprise		Environment		Internal Market		Research and Technology		Trans-European Networks		Transport		Climate Action",,0-9999
60243179889-56,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Portugal,Lisboa,national,Transport,3000,
07658399914-37,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Netherlands,Leiden,"European		global		national		regional/local","Agriculture and Rural Development		Culture		Education		Energy		Environment		Fisheries and Aquaculture		Research and Technology		Public Health		Climate Action",,50000-99999
248302410157-26,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.","Other public or mixed entities		created by law whose purpose is to act in the public interest",France,Toulouse,"European		national		regional/local","Budget		Development		Energy		Environment		Taxation		Internal Market		Regional Policy		Research and Technology		Transport",,0-9999
620746110122-35,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,United Kingdom,Staines,global,"Energy		Enterprise		Environment		Fisheries and Aquaculture		Research and Technology		Transport		Climate Action",85000,
147822918905-17,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Portugal,Porto,global,"General and Institutional Affairs		Economic and Financial Affairs		Information Society		Financial Stability		Financial Services and Capital Markets Union",,50000-99999
307740118910-05,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United Kingdom,Watford,global,"Consumer Affairs		Energy		Enterprise		Environment		Climate Action",,50000-99999
66776609883-71,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Italy,Trieste,"European		global		national","Education		Energy		Environment		Regional Policy		Research and Technology		Trans-European Networks		Public Health		Communication",,0-9999
218282321469-11,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Germany,Hamburg,global,"Economic and Financial Affairs		Audiovisual and Media		Trade		Competition		Consumer Affairs		Culture		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Research and Technology		External Relations		Information Society		Communication",50000,
001878012101-70,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,United Kingdom,London,national,Transport,,0-9999
606518612244-15,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Austria,Wien Flughafen,"European		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Competition		Consumer Affairs		Customs		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Trans-European Networks		Transport",,0-9999
93533519997-62,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,global,"Agriculture and Rural Development		Consumer Affairs		Research and Technology		Public Health		Food Safety",,50000-99999
063208210070-07,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Australia,Melbourne,global,"Trade		Competition		Development		Employment and Social Affairs		Energy		Enterprise		Environment		Internal Market		External Relations		Climate Action",30000,
982190910352-88,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Gent,national,Environment,,0-9999
646212121472-51,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Austria,Linz,"European		global		national		regional/local","Agriculture and Rural Development		Energy		Environment		Regional Policy		Research and Technology		Climate Action",,0-9999
128786010379-07,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,"European		national		regional/local","Enterprise		Public Health		Food Safety",,0-9999
138286810382-37,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Namur,"national		regional/local","Agriculture and Rural Development		Competition		Environment		Taxation		Internal Market		Regional Policy		Public Health",,0-9999
150634510181-07,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Greece,___________,"European		regional/local","Culture		Education		Employment and Social Affairs		Environment		Youth		External Relations		Trans-European Networks",,0-9999
325785410304-47,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Belgium,Lier,European,"Competition		Consumer Affairs		Employment and Social Affairs		Enterprise		Environment		Taxation		Research and Technology		Public Health		Food Safety		Climate Action",,0-9999
